Category,Term,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR
GOTERM_BP_DIRECT,GO:0006954~inflammatory response,25,9.124087591,2.32E-09,"SERPINA3, C5AR1, LY96, CXCR4, CXCL1, FPR3, NDST1, IFI16, ADORA3, CCRL2, ADORA1, CCL3, S100A12, CCL2, OLR1, S1PR3, CD14, CCR1, ANXA1, BCL6, CHI3L1, TAB2, TLR5, CD44, NFKBIB",257,424,19416,4.454518758,4.23E-06,4.23E-06,4.21E-06
GOTERM_BP_DIRECT,GO:0002548~monocyte chemotaxis,6,2.189781022,2.01E-05,"CCR1, LGALS3, ANXA1, CCL3, S100A12, CCL2",257,26,19416,17.43430111,0.03601155,0.018337799,0.018247366
GOTERM_BP_DIRECT,GO:0006935~chemotaxis,10,3.649635036,5.10E-05,"CMTM7, CCR1, CMTM5, C5AR1, CCRL2, CCL3, CCL2, CXCR4, FPR3, CXCL1",257,128,19416,5.902237354,0.088836623,0.030507864,0.030357414
GOTERM_BP_DIRECT,GO:0071222~cellular response to lipopolysaccharide,12,4.379562044,6.69E-05,"ABCA1, XBP1, PLSCR4, DEFA3, LY96, CCL2, CXCL1, CD14, VIM, GBP2, TLR5, NFKBIB",257,198,19416,4.578705341,0.114883085,0.030507864,0.030357414
GOTERM_BP_DIRECT,GO:0032760~positive regulation of tumor necrosis factor production,9,3.284671533,1.35E-04,"CD84, FCGR2A, TYROBP, PTPRC, ABCC8, CCL3, LPL, LY96, CD14",257,114,19416,5.964366168,0.218701206,0.049356187,0.049112787
GOTERM_BP_DIRECT,GO:0051216~cartilage development,7,2.554744526,2.13E-04,"ZEB1, PRRX1, CHI3L1, TIMP1, SOX6, TYMS, CD44",257,65,19416,8.136007183,0.322695398,0.057561672,0.057277806
GOTERM_BP_DIRECT,GO:0030036~actin cytoskeleton organization,12,4.379562044,2.32E-04,"BRSK2, INF2, TYROBP, ANXA1, DAAM1, BCL6, PALLD, FSCN1, LDB3, CXCL1, ANTXR1, EHBP1",257,228,19416,3.976244112,0.344991658,0.057561672,0.057277806
GOTERM_BP_DIRECT,GO:0030199~collagen fibril organization,7,2.554744526,2.52E-04,"TGFB2, ADAMTS14, COL27A1, ANXA2, SERPINH1, CYP1B1, DDR2",257,67,19416,7.893141297,0.369064402,0.057561672,0.057277806
GOTERM_BP_DIRECT,GO:0007165~signal transduction,34,12.40875912,3.25E-04,"CNTFR, C5AR1, ITPR2, CXCL1, RASAL1, TNFRSF11B, FPR3, NDRG2, NRGN, ERBB3, GPNMB, ADORA3, PDPN, NAMPT, ADORA1, SPP1, CCL2, SFN, APBB1, TIMP1, CMTM7, DTNA, ANXA1, CMTM5, CCK, MERTK, GEM, TYROBP, PTPRC, RPS6KB2, S100A6, MAP3K10, NFKBIB, DDR2",257,1326,19416,1.937144567,0.447760237,0.065964043,0.065638741
GOTERM_BP_DIRECT,GO:0006955~immune response,18,6.569343066,6.90E-04,"CCR1, CD84, XBP1, HLA-DRB5, GPR65, C5AR1, CEBPG, CXCR4, GEM, IGLL1, CCRL2, SLAMF8, CCL3, CCL2, HLA-DRA, MBP, GBP2, HLA-DPA1",257,529,19416,2.570653093,0.716461912,0.125997367,0.125376011
GOTERM_BP_DIRECT,GO:0006887~exocytosis,8,2.919708029,0.001125278,"CCR1, BRSK2, RAB3A, EXOC7, CCL3, CPLX2, SRCIN1, LLGL2",257,121,19416,4.994951281,0.871880074,0.176254099,0.1753849
GOTERM_BP_DIRECT,GO:0030593~neutrophil chemotaxis,6,2.189781022,0.001158931,"LGALS3, TGFB2, C5AR1, CCL3, S100A12, CXCL1",257,60,19416,7.554863813,0.879520508,0.176254099,0.1753849
GOTERM_BP_DIRECT,GO:0001765~membrane raft assembly,3,1.094890511,0.001686869,"ANXA2, RFTN1, S100A10",257,5,19416,45.32918288,0.954092866,0.228436115,0.227309581
GOTERM_BP_DIRECT,GO:0030198~extracellular matrix organization,9,3.284671533,0.001777279,"ADAMTS14, ECM2, COL27A1, COL16A1, COL8A2, COL8A1, COL9A3, TNFRSF11B, TGFBI",257,168,19416,4.047248471,0.961086754,0.228436115,0.227309581
GOTERM_BP_DIRECT,GO:0051930~regulation of sensory perception of pain,4,1.459854015,0.001877557,"FABP5, ADORA1, CCL3, PIRT",257,19,19416,15.90497645,0.967605367,0.228436115,0.227309581
GOTERM_BP_DIRECT,GO:0043066~negative regulation of apoptotic process,16,5.839416058,0.00307843,"XBP1, ANXA1, ANGPT1, HIP1R, MAPK8IP3, FSTL1, DAB2, ERBB3, PDPN, CAT, ADORA1, TIMP1, NUPR1, EVI2B, CD44, DDR2",257,506,19416,2.388889743,0.996399924,0.351133444,0.349401827
