Condition,Category,MatchingBrain,MatchingMS,Term,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR
ADCell,GOTERM_BP_DIRECT,0,0,GO:0046718~symbiont entry into host cell,16,2.821869489,2.25E-07,"CR1, SELPLG, ITGB5, ITGB3, CXCR4, RPSA, SLC3A2, DPP4, ILF3, CTSL, CDK1, TNFRSF14, CCR5, LDLR, MYH10, EPHA2",533,107,19416,5.447142782,6.87E-04,6.87E-04,6.83E-04
ADCell,GOTERM_BP_DIRECT,0,0,GO:0051301~cell division,30,5.291005291,8.85E-07,"RB1, CDCA2, CDCA5, NEDD9, CDCA8, SKA3, SMC4, TRIOBP, AURKB, SKA2, SMC2, CCNB1, CCND2, RBBP8, FAM83D, PELO, HELLS, UBE2C, CDC7, CDC6, CKAP5, TPX2, CENPF, KIF18B, CCNE2, CDK5, PRC1, KIFC1, CDK1, TACC3",533,383,19416,2.853349923,0.002700848,0.00135225,0.00134473
ADCell,GOTERM_BP_DIRECT,0,0,GO:0009615~response to virus,14,2.469135802,9.94E-06,"IFITM1, BATF3, SAP30BP, CXCR4, LILRB1, IRAK3, IFIT1, CLU, IFIT3, IFIT2, ACTA2, FGR, BCL3, BCL2L1",533,110,19416,4.6362613,0.029922895,0.010126524,0.01007021
ADCell,GOTERM_BP_DIRECT,1,1,GO:0071222~cellular response to lipopolysaccharide,18,3.174603175,3.38E-05,"ABCA1, HMGB2, TNFAIP3, LILRB1, IRAK3, LILRB2, IL1A, SLC7A5, MIR223, IL6, EDNRB, IL1B, NFKBIZ, CCL2, CD14, CD36, CD68, CCR5",533,198,19416,3.311615214,0.098282031,0.025862933,0.025719109
ADCell,GOTERM_BP_DIRECT,0,1,GO:0006955~immune response,32,5.643738977,6.45E-05,"CCL4L2, CCL3L3, LST1, WAS, IFI6, CXCR4, IL1RAP, CD1C, IGF1R, C3, CTSL, CCRL2, SLAMF9, CCL3, CCL2, TNFRSF14, CCR6, CCR5, SEMA4D, PRG2, SERPINB9, LILRB2, HLA-F, HLA-E, CHIT1, IL1A, IL6, CD40LG, SLPI, IL1B, PECAM1, TLR10",533,529,19416,2.203570048,0.178881786,0.036361723,0.036159515
ADCell,GOTERM_BP_DIRECT,0,1,GO:0097242~amyloid-beta clearance,6,1.058201058,7.14E-05,"C3, MME, TREM2, CLU, LDLR, IGF1R",533,17,19416,12.85685907,0.19601778,0.036361723,0.036159515
ADCell,GOTERM_BP_DIRECT,0,0,GO:0000278~mitotic cell cycle,14,2.469135802,1.02E-04,"CDCA5, NOLC1, CDCA8, SKA3, LIPA, AURKB, KIF15, SKA2, TPX2, CENPF, KIF18B, MYB, MYBL2, TUBA8",533,137,19416,3.722545569,0.268834601,0.044728507,0.044479771
ADCell,GOTERM_BP_DIRECT,0,1,GO:0030335~positive regulation of cell migration,21,3.703703704,1.24E-04,"SPAG9, GRN, SEMA4D, CCL3L3, TWIST2, NEDD9, CXCR4, IGF1R, FGR, GPNMB, MDK, PODXL, IL1B, CCL3, S1PR1, PECAM1, CCL2, ROR2, TRIM32, EZH2, EPHA2",533,285,19416,2.684151279,0.316443515,0.047552789,0.047288348
ADCell,GOTERM_BP_DIRECT,1,0,GO:0010575~positive regulation of vascular endothelial growth factor production,7,1.234567901,2.03E-04,"C3, IL1A, IL6, IL1B, C3AR1, ARNT, HPSE",533,32,19416,7.968574109,0.462765901,0.069028689,0.06864482
ADCell,GOTERM_BP_DIRECT,0,0,GO:0090307~mitotic spindle assembly,8,1.410934744,2.36E-04,"TPX2, UHRF1, KIFC1, CDCA8, FLNA, MYBL2, AURKB, KIF15",533,46,19416,6.335263888,0.514218915,0.072191195,0.071789739
ADCell,GOTERM_BP_DIRECT,1,1,GO:0006954~inflammatory response,26,4.585537919,2.95E-04,"CCL3L3, STK39, TNFAIP3, CXCR4, IL1RAP, HK2, FUT4, C3, CCRL2, STAB1, CCL3, C3AR1, CCL2, OLR1, CD14, CCR5, PLA2G2D, IL1A, MIR223, IL6, CD40LG, IL1B, COL6A1, TLR10, MGLL, EPHA2",533,424,19416,2.233778187,0.594786671,0.0789412,0.078502207
ADCell,GOTERM_BP_DIRECT,0,0,GO:0042130~negative regulation of T cell proliferation,8,1.410934744,3.10E-04,"PLA2G2D, CR1, GPNMB, LILRB1, LILRB2, VSIG4, TNFRSF21, HLA-E",533,48,19416,6.071294559,0.612268117,0.0789412,0.078502207
ADCell,GOTERM_BP_DIRECT,0,0,GO:0000070~mitotic sister chromatid segregation,7,1.234567901,3.98E-04,"KIF18B, KIFC1, NUSAP1, CDCA8, SKA3, SMC4, SKA2",533,36,19416,7.083176986,0.703974555,0.093620579,0.093099954
ADCell,GOTERM_BP_DIRECT,0,1,GO:0007155~cell adhesion,30,5.291005291,5.20E-04,"SELPLG, ITGB5, ITGB3, COL12A1, NEDD9, HAPLN4, THBS3, DPP4, GPNMB, PODXL, STAB1, S1PR1, CCL2, LPXN, PLXNC1, CD36, MYH10, SIGLEC16, EGFL7, SEMA4D, ITGA3, SIGLEC10, RPSA, CLEC4A, COL6A1, ITGBL1, TGFBI, HPSE, MFGE8, EPHA2",533,543,19416,2.012583832,0.796030297,0.113526464,0.112895143
ADCell,GOTERM_BP_DIRECT,0,0,GO:0070301~cellular response to hydrogen peroxide,9,1.587301587,5.81E-04,"NET1, IL6, PCNA, PLEKHA1, MYB, PRKCD, CDK1, TNFAIP3, EZH2",533,69,19416,4.751447916,0.830699665,0.11733537,0.116682867
ADCell,GOTERM_BP_DIRECT,0,0,GO:0016477~cell migration,19,3.350970018,6.14E-04,"NCKAP1, RAB1A, ITGB5, ITGB3, SDC3, NEDD9, NFATC2, TNFAIP3, SORL1, FMNL1, SH3BP1, PODXL, CDH23, S1PR1, CDK1, ITGBL1, GPC4, FAM83D, EPHA2",533,275,19416,2.516827563,0.847095635,0.11733537,0.116682867
ADCell,GOTERM_BP_DIRECT,0,0,GO:0042159~lipoprotein catabolic process,4,0.705467372,6.59E-04,"APOE, LIPA, CTSD, LDLR",533,7,19416,20.81586706,0.866867589,0.118573306,0.117913919
ADCell,GOTERM_BP_DIRECT,0,1,GO:0006898~receptor-mediated endocytosis,9,1.587301587,7.74E-04,"CAP1, CTTN, STAB1, CD14, CD36, APOE, SORL1, LDLR, IGF2R",533,72,19416,4.553470919,0.906257133,0.119258561,0.118595364
ADCell,GOTERM_BP_DIRECT,0,0,GO:0002456~T cell mediated immunity,5,0.881834215,7.80E-04,"CR1, CR1L, NFKBIZ, BTN3A3, BTN3A2",533,16,19416,11.3836773,0.908012465,0.119258561,0.118595364
ADCell,GOTERM_BP_DIRECT,0,0,GO:0015909~long-chain fatty acid transport,5,0.881834215,7.80E-04,"FABP4, FABP5, PLIN2, CD36, APOE",533,16,19416,11.3836773,0.908012465,0.119258561,0.118595364
ADCell,GOTERM_BP_DIRECT,0,0,GO:0002181~cytoplasmic translation,10,1.76366843,9.41E-04,"RPS15, RPL5, RPS17, RPS5, RPL13A, RPSA, RPL15, RPS27A, RPS10, RPS12",533,92,19416,3.95953993,0.943698311,0.136937017,0.136175509
ADCell,GOTERM_BP_DIRECT,0,0,GO:0150094~amyloid-beta clearance by cellular catabolic process,4,0.705467372,0.001033575,"MME, TREM2, CD36, LDLR",533,8,19416,18.21388368,0.957628195,0.143619914,0.142821243
ADCell,GOTERM_BP_DIRECT,0,0,GO:0051248~negative regulation of protein metabolic process,4,0.705467372,0.001518893,"EDNRB, LILRB2, APOE, LDLR",533,9,19416,16.19011882,0.990407612,0.201803925,0.200681692
ADCell,GOTERM_BP_DIRECT,0,0,GO:0007059~chromosome segregation,10,1.76366843,0.001584329,"CENPU, CENPF, CDCA2, HJURP, CENPN, ESCO2, MKI67, SKA3, DLGAP5, SKA2",533,99,19416,3.67957246,0.992149161,0.201803925,0.200681692
ADCell,GOTERM_BP_DIRECT,0,0,GO:0000082~G1/S transition of mitotic cell cycle,9,1.587301587,0.001679393,"RB1, CCNB1, CCND2, CCNE2, CDK1, RBBP8, CDC7, CACUL1, EZH2",533,81,19416,4.047529706,0.994131879,0.2053562,0.204214213
ADCell,GOTERM_BP_DIRECT,0,0,GO:0060252~positive regulation of glial cell proliferation,5,0.881834215,0.002301775,"SLC7A5, IL6, IL1B, MYB, ETV5",533,21,19416,8.673277942,0.999127928,0.270635676,0.269130669
ADCell,GOTERM_BP_DIRECT,0,0,GO:0006096~glycolytic process,7,1.234567901,0.002604406,"HK3, TMEM237, COL6A1, LIPA, GCK, HK2, IER3",533,51,19416,4.999889637,0.999655031,0.294876623,0.293236812
